0.Unannotated,1.Unannotated,2.Unannotated,3.Unannotated,4.Unannotated,5.Unannotated,6.Unannotated,7.Unannotated,8.G-KC,9.Unannotated,10.Astrocyte-like,11.TmY14,12.Pm1/Pm2,13.Unannotated,14.Ensheathing glia,15.Unannotated,16.Unannotated,17.Mip ,18.Tm9,19.Unannotated,20.L1/L2/L3/L4/L5,21.Unannotated,22.a/b-KC,23.Unannotated,24.T4/T5,25.Unannotated,26.Mi1,27.OPN: adPN and lPN,28.a'/b'-KC,29.Unannotated,30.Unannotated,31.T2/T3,32.Unannotated,33.Unannotated,34.Unannotated,35.Ensheathing Glia,36.Clock neurons,37.T1,38.Serotonergic,39.Dm8/Tm5c,40.Unannotated,41.Tm5ab,42.Dopaminergic,43.Hemocytes,44.Unannotated,45.Tm1/TmY8,46.Peptidergic,47.Unannotated,48.Pm1/Pm2/Pm3,49.Unannotated,50.Unannotated,51.Mt1,52.Unannotated,53.Photoreceptors,54.Unannotated,55.Unannotated,56.Unannotated,57.MBON,58.Lawf1,59.Unannotated,60.Cortex Glia,61.dFB,62.Unannotated,63.Unannotated,64.Octopaminergic-Tyraminergic,65.C2/C3,66.Subperineurial Glia,67.Unannotated,68.Unannotated,69.Unannotated,70.Perineurial glia,71.Unannotated,72.Lawf2,73.Pm3 ,74.Unannotated,75.Unannotated,76.Unannotated,77.Unannotated,78.Unannotated,79.Unannotated,80.Poxn,81.Unannotated,82.Chiasm Glia,83.Unannotated,84.Unannotated,85.Subperineurial Glia,86.DN1
,,,,,,,,CG42339,,CG6983,,,,zfh2,,,,,,MCU,,CG43222,MESK2,,,Hrb27C,UQCR-C1,CG10283,,,,,,,CG1640,,RpL27,,CG43143,,,,CR43855,,RhoGAP93B,RpS14b,,,,,,,,,smal,,,CG32549,,Tsp5D,veli,,,CG2519,SdhC,CG5973,,,,CR31044,,Mdh2,,CG31808,,,Tpi,nAChRalpha1,CG30069,wrd,CG6178,CG34423,,Ccn,CG6145,Rpn6
,,,,,,,,CG5890,,CG10352,,,,Nop17l,,,,,,trc,,AnxB11,ATPsynG,,,CG10077,CG33543,cno,,,,,,,Eno,,eEF1gamma,,pzg,,,,CG10126,,CG8229,RpL17,,,,,,,,,CG43066,,,alpha-Man-Ia,,zfh2,RpL40,,,drongo,galectin,RpS12,,,,RpL12,,corto,,ATPsynbeta,,,CG2316,Kr-h1,Ssadh,Arp1,Jheh2,Cyp305a1,,Kank,AP-2sigma,RpL36A
,,,,,,,,grp,,cathD,,,,Amph,,,,,,Cdk5alpha,,CG31191,CG7781,,,CG8245,Mmp2,Df31,,,,,,,CG10311,,Ace,,CG42260,,,,Idgf3,,eIF3a,7B2,,,,,,,,,stmA,,,Mdh2,,DNaseII,COX7C,,,VhaM8.9,l(1)G0334,RpL24,,,,CG6543,,ND-MWFE,,SPoCk,,,CenG1A,CG42376,CG9436,CG15312,Pgd,ssp7,,loqs,Dronc,tsr
,,,,,,,,Flo1,,temp,,,,Hexo2,,,,,,Cp110,,CG17321,Cat,,,Tina-1,COX6B,Ncoa6,,,,,,,Eaat1,,CG4297,,Got2,,,,Spn88Eb,,ND-51,CG15628,,,,,,,,,cbx,,,HPS1,,CG14687,eIF1A,,,Manf,CG9413,stl,,,,Tep2,,Idh3b,,UbcE2H,,,Vha55,Manf,Moe,cora,knrl,Spn88Ea,,Nlg3,UbcE2M,GCS2beta
,,,,,,,,CG10257,,Chmp1,,,,CR40469,,,,,,CG12991,,CG17124,shi,,,phyl,UQCR-6.4,CG15630,,,,,,,CG12560,,Cbp20,,ND-MWFE,,,,CG17350,,Sep4,sNPF-R,,,,,,,,,CG13920,,,betaTub56D,,aop,CG14372,,,msn,kcc,Hsc70-4,,,,Ugt86Dd,,ND-75,,CG9801,,,Sap130,Sfxn1-3,Asph,CG13921,Dr,opa,,pgant2,Idgf4,RpS14b
,,,,,,,,elav,,Pdxk,,,,CG5955,,,,,,SLO2,,Tctp,UQCR-C2,,,dpr18,CG40472,Pkn,,,,,,,Spn88Ea,,Ctr9,,Cbp20,,,,CG13631,,eIF4B,RpL3,,,,,,,,,CG15765,,,ATPsynCF6,,CG1468,CG15803,,,Elk,CG5549,Npc2b,,,,Acon,,sun,,CG15772,,,lola,CG44774,repo,l(2)37Cc,vir-1,S,,CG8726,endos,CG2059
,,,,,,,,pAbp,,Jheh3,,,,egr,,,,,,ATPCL,,Lis-1,Fie,,,CG9531,ATPsynB,SC35,,,,,,,Pdk,,Syx8,,ND-B14.5B,,,,Vha100-2,,CG32432,RpLP2,,,,,,,,,beat-VII,,,puc,,Spn27A,Lim3,,,CG10098,CG7920,RpS17,,,,ry,,ND-AGGG,,Tpi,,,CG32204,sif,dally,CG34370,ND3,CG31999,,Hs3st-A,fbl,cathD
,,,,,,,,CG33543,,E23,,,,Pglym78,,,,,,kirre,,CG14509,CG9328,,,CNBP,CG30116,chrb,,,,,,,Ilp6,,gpp,,Ac76E,,,,Gal,,CG4364,RpL19,,,,,,,,,CG34393,,,ND-B14.5A,,ClC-a,CD98hc,,,CG15715,CG15760,RpL12,,,,RpS11,,POLDIP2,,CG17839,,,Cyt-c1,prominin-like,CG6218,CG6013,Cat,Arf51F,,CG13743,prage,CR44892
,,,,,,,,SRPK,,fusl,,,,kibra,,,,,,CG6282,,AGO1,UQCR-C1,,,Nmnat,UQCR-14,Cdk5alpha,,,,,,,Inos,,tadr,,Gbeta13F,,,,CG31431,,CG5644,RpS21,,,,,,,,,CG34113,,,LpR1,,CG3902,Fili,,,CG42402,bab1,CG9628,,,,ND4,,tna,,CG40498,,,norpA,GlyP,Sodh-2,Torsin,Fmo-2,Sodh-2,,Ing5,CG4502,Cp1
,,,,,,,,CG1943,,cib,,,,CG1146,,,,,,CG16833,,eIF3e,ATPsynCF6,,,vib,ATPsyndelta,CG34219,,,,,,,CG7966,,Vha55,,UQCR-14,,,,pnt,,ND-15,RpS23,,,,,,,,,sn,,,COX7C,,CG10660,CG12822,,,Fer2,UQCR-C2,CG14253,,,,GstD1,,CG5934,,COX7A,,,CG42750,zip,uzip,CG5214,CG6770,CG7888,,CG5916,sprt,Hnf4
,,,,,,,,CG32280,,ine,,,,RpS13,,,,,,CenG1A,,Tsp39D,chrb,,,CG4662,CG32267,CG11537,,,,,,,ine,,DCP1,,sws,,,,CG31955,,phyl,RpL11,,,,,,,,,wake,,,ND-B14.5B,,repo,Pgi,,,CG31676,UQCR-C1,CG12262,,,,CG15279,,CG13506,,ND-B14.5B,,,stj,Cdep,pdgy,rad,Idgf4,CHKov2,,CCKLR-17D3,Kank,CCT3
,,,,,,,,CG1129,,Tsp42Ea,,,,CG11791,,,,,,mRpL10,,comm,dpr17,,,CG34117,ND-B14.5B,plx,,,,,,,CG31751,,porin,,sfl,,,,cv-c,,CG12605,RpL38,,,,,,,,,rdx,,,CG8331,,CG42394,Dak1,,,Rap1,Nhe2,Ilp6,,,,kar,,CG2865,,CG33144,,,PNUTS,Drep2,CG6084,P5CDh1,CG5346,pnt,,CG32206,eEF1alpha1,HnRNP-K
,,,,,,,,CG9391,,Sap-r,,,,CG3168,,,,,,caps,,CG5549,alphaTub84B,,,Hsc70-5,COX8,grp,,,,,,,Got2,,CG3530,,sky,,,,eEF5,,ND-B15,RpS6,,,,,,,,,CG13603,,,DopEcR,,Treh,CG13623,,,Ca-beta,CG3719,RpS10b,,,,CG42240,,UQCR-11,,Letm1,,,ATPsyndelta,CG16833,CG13937,Mob2,CG8399,RpL28,,Sidpn,Eip93F,OstDelta
,,,,,,,,Oli,,CG9657,,,,CG3091,,,,,,Rgk3,,sca,skl,,,Svil,ND-49,RabX4,,,,,,,Gel,,CG8300,,SelR,,,,RpS15,,CG7639,RpL26,,,,,,,,,smog,,,SRPK,,AOX3,ND-23,,,CG43867,CG34370,euc,,,,RpL24,,CG44242,,CG34351,,,CG12991,CG15772,Cyp28a5,Hsc70-4,ADPS,Nep4,,CG7985,ced-6,stai
,,,,,,,,CtBP,,Mes2,,,,CG12512,,,,,,CG18208,,CG14762,CG9109,,,GABA-B-R1,ND-MLRQ,CycT,,,,,,,Ctr1B,,CG2246,,CG13917,,,,beta-Man,,COX5A,RpS4,,,,,,,,,mge,,,CR43334,,CR31044,CG7582,,,ref(2)P,CG32486,Atf3,,,,myo,,Alas,,CG18815,,,ND-B17,Fie,RpL19,Tsp97E,RpS21,wake,,Nep3,VGlut,Cyt-c-p
,,,,,,,,dikar,,CG6834,,,,vvl,,,,,,CG7985,,TfIIS,Ggamma30A,,,ND-18,Hrb27C,sgg,,,,,,,CG13255,,dnr1,,UQCR-11,,,,Cyp6w1,,CG13920,skl,,,,,,,,,EndoB,,,CG42376,,CG17224,Aplip1,,,lolal,ND-B14.5B,Tsp42Ef,,,,CR45440,,CG14767,,CG13995,,,CG9801,muc,CG31673,CG9947,Jheh1,cib,,CG8909,Cp1,Prosalpha4
,,,,,,,,Hsp27,,eEF5,,,,Pino,,,,,,Epac,,PVRAP,CG44325,,,RpL27,Cyt-c1,wdb,,,,,,,Syx4,,Lcch3,,ATPsynD,,,,CG3301,,mim,RpS20,,,,,,,,,NK7.1,,,porin,,CG18622,Nca,,,ths,SdhB,CtsB1,,,,CG31102,,CG7488,,CG13594,,,path,Uch,CG17841,Hydr2,CG6398,AdoR,,Yippee,CG9008,CG12163
,,,,,,,,RpS23,,mnd,,,,AANATL2,,,,,,CG43867,,CkIIalpha,CG3609,,,CG31323,ox,Gycbeta100B,,,,,,,PyK,,RpL10Ab,,CG34393,,,,cv-d,,nrm,RpLP1,,,,,,,,,CG30116,,,Gyc88E,,CG12730,CG4686,,,SkpA,kek3,CR43870,,,,CG14397,,dpr10,,Rab3-GEF,,,RpL5,CG43707,CG31221,eEF1beta,ovo,CG9220,,CG6144,Cys,CG7386
,,,,,,,,RpL26,,fray,,,,Obp44a,,,,,,CG11221,,p120ctn,,,,CaMKI,ND-51,CG17508,,,,,,,Syb,,csw,,ND-24,,,,RpL27,,Eip75B,IA-2,,,,,,,,,Eip74EF,,,Lk6,,CG6723,RpL24-like,,,gprs,Gdh,Taz,,,,RpL6,,Oamb,,ND-PDSW,,,CG7407,puc,ana,Mdh2,Lip4,Tis11,,5PtaseI,CG9336,RpS18
,,,,,,,,eIF3b,,CG12163,,,,CG7029,,,,,,CG15630,,fax,,,,sdt,COX7A,kra,,,,,,,Hydr1,,PGAP3,,CG42700,,,,CG12811,,CG13585,eEF2,,,,,,,,,CG13907,,,CG13995,,betaTub97EF,CG7630,,,CG5282,CG4238,SP1173,,,,RpS17,,CG5214,,ND-B14,,,ND-B14.5B,CG10581,RpL4,Cka,CG34325,Desat1,,CG6024,CG30197,Sik3
,,,,,,,,CG6765,,Hex-A,,,,pcs,,,,,,AcCoAS,,FoxP,,,,CG5028,ATPsynG,cac,,,,,,,kibra,,CG13364,,AhcyL1,,,,dpp,,CG1636,robo2,,,,,,,,,bma,,,sr,,Desat1,FMRFaR,,,dpr21,beat-IV,CG16947,,,,CG15210,,CG3420,,Lpin,,,ATPsynCF6,CG2316,Got1,Irp-1A,atilla,CG43341,,CdsA,GILT1,CCT2
,,,,,,,,Lis-1,,scf,,,,CR45018,,,,,,CG3107,,toc,,,,CG42337,UQCR-Q,Calx,,,,,,,CG32407,,Hk,,Galphao,,,,CG1208,,SP2353,RpL7A,,,,,,,,,,,,ND-23,,CG13124,fend,,,GEFmeso,CG42376,RpL23,,,,Jafrac1,,slmo,,Vps28,,,unc-5,CG14372,cathD,CG14408,Ugt36Bc,AANATL2,,Ost48,Prosalpha4,loj
,,,,,,,,CG9171,,RpS10b,,,,Irc,,,,,,CG33144,,CG31637,,,,jef,ND-15,stx,,,,,,,mol,,Ref1,,sqh,,,,alpha-Est7,,Glut1,RpS3,,,,,,,,,,,,UQCR-C2,,foxo,ens,,,CG32206,CG4404,lost,,,,RpS27,,CG15312,,Synd,,,chinmo,Hex-A,GILT3,Cdk5alpha,CG17322,Oatp58Dc,,AnxB11,CG12237,scrib
,,,,,,,,PDCD-5,,Tsp42Ee,,,,CG2254,,,,,,Gycbeta100B,,Octbeta3R,,,,wdb,porin,CG14478,,,,,,,CG8112,,Khc-73,,Pal2,,,,Tsp42Ee,,tutl,CG34155,,,,,,,,,,,,CG1814,,CG34136,vig,,,Pal1,CG14777,RpS8,,,,LpR1,,CG5903,,Lcch3,,,ATPsynB,rin,Cys,CG5641,ex,Ect4,,kuk,Doa,Act42A
,,,,,,,,Cals,,CG42788,,,,moody,,,,,,CR46006,,RpL41,,,,CG14407,UQCR-11,gpp,,,,,,,CR40469,,RpS3A,,CG43740,,,,CG2852,,CG42337,Nmdmc,,,,,,,,,,,,ppl,,RpLP1,Shal,,,Rab14,CG44837,pyd3,,,,CG7231,,CRIF,,oaf,,,ATPsynG,CG1907,vvl,CG34351,CG1146,CG6723,,Rpb8,Atg8a,CG5515
,,,,,,,,CG13551,,CG32103,,,,sgl,,,,,,mib2,,CG13551,,,,Tango5,COX5B,RpS23,,,,,,,CG5321,,Ptpmeg2,,Non1,,,,pes,,NfI,RpL35,,,,,,,,,,,,ftz-f1,,GstD1,ND-B17.2,,,CG8641,gammaSnap2,kibra,,,,Eaat1,,CG9947,,5-HT2A,,,fd59A,Cp110,RpS11,CG1402,Reg-5,RpS7,,Nhe2,Mlp84B,Atf3
,,,,,,,,CG7694,,Nep4,,,,Jheh2,,,,,,CG42700,,CG15097,,,,CG31475,sun,Galphas,,,,,,,Lapsyn,,CG14777,,CG14483,,,,pst,,wdb,sta,,,,,,,,,,,,otk2,,l(1)G0193,blw,,,Der-1,CG14757,eEF1gamma,,,,Syb,,Hsc70-5,,Hsp68,,,CG42594,wdb,l(2)k09913,Cals,RpL34b,Lapsyn,,Drat,CG11791,Hrb87F
,,,,,,,,Pabp2,,Tsp42Ed,,,,Ssk,,,,,,CG1882,,Pp1-87B,,,,CG13623,Rab27,CG13921,,,,,,,JhI-26,,Cp110,,CG11752,,,,CG1146,,Mid1,RpS29,,,,,,,,,,,,Pcyt1,,Vha68-2,Droj2,,,Arf79F,ftz-f1,eEF1beta,,,,fat-spondin,,CG10340,,CG3176,,,slgA,unc-104,CG6723,CG44837,Gk2,CG4829,,CadN2,CG11885,Rpn13
,,,,,,,,puc,,Cyt-b5,,,,spri,,,,,,Pdk,,CG12071,,,,Dscam4,Ac13E,CG7920,,,,,,,Invadolysin,,Sod1,,ATPsynG,,,,RpS19a,,rdgC,RpS27,,,,,,,,,,,,CG18549,,CG42390,side,,,dpr18,CG15309,CG14696,,,,RpS9,,nord,,ND-SGDH,,,Ac13E,CG17065,MtnA,CG30423,Rack1,kay,,MYPT-75D,CG7739,RpS16
,,,,,,,,CG8498,,CG9917,,,,CalpB,,,,,,CG8916,,hoe2,,,,CG15916,COX4,ICA69,,,,,,,bou,,CG3434,,roh,,,,Gbp1,,CG11876,CG13054,,,,,,,,,,,,CG16817,,Zip71B,Atg8a,,,rgn,Tina-1,trol,,,,CG6293,,Stlk,,Hers,,,CG12822,jigr1,CG3376,CG8910,Tis11,CG2493,,CG7991,Prosbeta6,epsilonCOP
,,,,,,,,TfIIS,,brk,,,,Ork1,,,,,,dac,,lwr,,,,Mitofilin,ATPsynO,CG11077,,,,,,,CG31100,,PHGPx,,CG14715,,,,CG4572,,CG3530,futsch,,,,,,,,,,,,Eip75B,,CG1213,gammaSnap1,,,RpL39,DnaJ-1,Slc45-1,,,,CG3301,,Pal2,,Pur-alpha,,,CG10713,Abl,RpLP1,CG30053,RpS17,CG41520,,CG10139,Rpt3,CG17716
,,,,,,,,CG6154,,CG3790,,,,GLaz,,,,,,TfAP-2,,Cow,,,,Syt4,cype,CG31814,,,,,,,CAP,,TfIIA-L,,CG5010,,,,Aldh,,CG4239,RpL31,,,,,,,,,,,,Trim9,,Orct,TBC1D16,,,Sod1,CG15431,RpL41,,,,betaTub97EF,,CG18265,,Blos1,,,FoxP,CG1607,RpL35A,CG13551,CR44347,Cyp6w1,,CG4596,Rpt2,Nmt
,,,,,,,,brat,,fng,,,,Cyp6w1,,,,,,CG33639,,tai,,,,fz2,Ktl,CG42337,,,,,,,fat-spondin,,CG33543,,CG14407,,,,CR42868,,Svil,RpL32,,,,,,,,,,,,Pax,,kibra,CG43707,,,TMS1,,CG4462,,,,Mipp1,,Gie,,RFeSP,,,CG31345,Cf2,kibra,Cdc37,Phk-3,Ssk,,CG42337,Rpn10,Rpn9
,,,,,,,,lwr,,stumps,,,,CG7834,,,,,,Pka-C3,,PDZ-GEF,,,,CG9921,Neb-cGP,eEF2,,,,,,,Taldo,,Cow,,COX5A,,,,CG3328,,CG3955,salr,,,,,,,,,,,,Gug,,CR44107,SdhD,,,twz,,AsnS,,,,Oat,,mRpL4,,Meltrin,,,Gclc,CG42402,GstE3,Ubi-p63E,CG10932,CG7920,,CG9344,nkd,TfIIA-S
,,,,,,,,CG42260,,CG7084,,,,Tctp,,,,,,,,spir,,,,ND-B16.6,roh,Eaat2,,,,,,,CR44741,,wkd,,Hk,,,,Obp83ef,,bic,RpS15Aa,,,,,,,,,,,,CG9921,,CR43488,CG13248,,,tinc,,fng,,,,Spn77Ba,,CR44978,,stau,,,parvin,fend,Got2,Dlic,CG30159,Frl,,RpL34a,Rpn13,Thiolase
,,,,,,,,sqd,,Rab9,,,,Cyp6a17,,,,,,,,JIL-1,,,,AnxB10,ATPsyngamma,CG42339,,,,,,,Irk3,,akirin,,Ald,,,,CG3091,,PrBP,RpS9,,,,,,,,,,,,CrebA,,CG10960,dpr5,,,CG6123,,myo,,,,Sod1,,Cka,,ATPsynCF6,,,CG43740,Sh3beta,nuf,Rab11,Tsp42Ee,Nap1,,CG3402,Prosbeta5,CG5577
,,,,,,,,Hel25E,,CR45131,,,,myo,,,,,,,,CG8243,,,,SP2353,COX5A,brp,,,,,,,pdgy,,alphaTub84B,,Kif3C,,,,Sema5c,,CG7120,Pdf,,,,,,,,,,,,CG12338,,Lapsyn,CG1695,,,ringer,,CG14207,,,,pirk,,Tom40,,Pura,,,CG17839,CG17816,RpS8,CG42613,Tsp42El,Cyt-b5,,CG6013,CG14812,RpS24
,,,,,,,,RhoGAP71E,,CG12484,,,,mnd,,,,,,,,CG14764,,,,bwa,Pglym78,ATPsynF,,,,,,,CG5835,,Vps29,,CG7407,,,,CG8306,,CG1090,spab,,,,,,,,,,,,drongo,,ImpL2,qm,,,Dyrk2,,Trx-2,,,,RpS24,,Pink1,,veli,,,ND-24,Hs6st,E23,lig,RpL3,sky,,CG9391,pb,Apf
,,,,,,,,Rac1,,PGRP-LA,,,,CG3902,,,,,,,,CG15894,,,,Dyb,DIP-zeta,Gprk1,,,,,,,Men-b,,Ptp4E,,ND-15,,,,RpL36A,,CG17321,,,,,,,,,,,,,CR41597,,CG8312,CG32428,,,dpr6,,daw,,,,regucalcin,,CG45002,,Ald,,,CG5549,Syngr,CG17508,sxc,awd,CG6950,,Calr,glob1,Myo81F
,,,,,,,,Nrg,,mrj,,,,ine,,,,,,,,CG34354,,,,CG4678,CG31997,Spn,,,,,,,CG10178,,Pi3K21B,,Rab3,,,,Tep4,,CG8500,,,,,,,,,,,,,CG7378,,sev,CG11267,,,CG31760,,apt,,,,awd,,Syt7,,Neb-cGP,,,Dsp1,Gs1,Rab9,CG11357,Rpi,RpS21,,CR42862,Txl,CG13796
,,,,,,,,CG43736,,CG7149,,,,Est-Q,,,,,,,,Pkc98E,,,,CG34370,mamo,loqs,,,,,,,CG3091,,alph,,corto,,,,Thor,,eIF3d1,,,,,,,,,,,,,AnxB10,,Ssk,Octbeta3R,,,CG42795,,Spn42Dd,,,,CG2003,,CG5644,,CG42784,,,mav,Hk,RpL37A,Hexo1,CG6028,CG1665,,PPP4R2r,shn,Sec13
,,,,,,,,Sema1a,,CG12065,,,,CR31044,,,,,,,,Prp3,,,,NTPase,,Elk,,,,,,,CG33080,,Ppa,,kat-60L1,,,,RpL12,,spi,,,,,,,,,,,,,ATPsynO,,Cyp6v1,unc-104,,,Oct-TyrR,,VhaM9.7-b,,,,RpS28b,,ND2,,CG12895,,,Tusp,CG16817,CG6465,Pdfr,CG7834,CG10479,,Eaat2,Nph,CG2852
,,,,,,,,me31B,,RpL32,,,,vkg,,,,,,,,mbf1,,,,CG16717,,Hsc70Cb,,,,,,,CG3790,,gish,,ATPsynO,,,,RpS16,,Nmnat,,,,,,,,,,,,,Non1,,NFAT,ox,,,Hsp67Ba,,RpL7,,,,RpL36,,CG11388,,ND-B17.2,,,sif,Cadps,CG13255,CG10137,RpL18,Mms19,,CG1504,Tsp42Ee,RpL17
,,,,,,,,mGluR,,Ssadh,,,,Ilp6,,,,,,,,elav,,,,Sdhaf3,,Dic1,,,,,,,Zip71B,,CG11137,,La,,,,VhaM9.7-b,,Octbeta3R,,,,,,,,,,,,,CG11876,,3L,roh,,,Eip93F,,Jheh2,,,,CG7800,,CG11267,,gce,,,CG31814,VhaPPA1-1,CG8312,Hsp70Bc,olf186-M,Mal-A5,,mon2,Act5C,CG5554
,,,,,,,,CG4297,,JhI-26,,,,E(spl)mbeta-HLH,,,,,,,,Dsp1,,,,COX7C,,TfIIS,,,,,,,CR17025,,CG12343,,siz,,,,CG5704,,Abl,,,,,,,,,,,,,dpr12,,Galphai,ND-30,,,CG30116,,Hnf4,,,,CG13631,,Hs3st-A,,CG30373,,,,CG32432,crq,TBPH,Hnf4,gbb,,CG8397,Prosbeta7,RpL40
,,,,,,,,CG32428,,Lapsyn,,,,RpL27A,,,,,,,,RpS9,,,,Alas,,Mob4,,,,,,,CG12512,,kek5,,Lcch3,,,,CG44085,,CG15431,,,,,,,,,,,,,CG15270,,Pkn,ND-B15,,,GABA-B-R3,,Pdk,,,,ND6,,Uch,,tadr,,,,RIC-3,spab,CG5516,Cyp9f2,CG31235,,Ptp99A,CG9953,coro
,,,,,,,,Elk,,jvl,,,,CG9932,,,,,,,,CG8498,,,,ND-PDSW,,Ref1,,,,,,,mnd,,mRpL10,,Eip74EF,,,,RpS7,,CG17778,,,,,,,,,,,,,tai,,RpL41,nAChRalpha7,,,Ac13E,,mfas,,,,Rac2,,Drp1,,tamo,,,,Mlc-c,CG9689,Dg,RpS9,tsr,,CG10465,ABCB7,Dhpr
,,,,,,,,CycT,,CG10654,,,,Mtl,,,,,,,,RhoGAP71E,,,,CG42322,,CG17816,,,,,,,CG10550,,Ubc10,,COX5B,,,,alc,,CG14777,,,,,,,,,,,,,mtd,,Tis11,Ip259,,,Piezo,,Thiolase,,,,Cyp12a5,,CG32369,,sws,,,,CG3860,GstS1,CG9813,RpL41,foxo,,lolal,Rpn9,CG3781
,,,,,,,,Sema2b,,CR18228,,,,ssp7,,,,,,,,gprs,,,,osp,,Eip63E,,,,,,,CG17508,,CG7920,,CG5027,,,,RpL28,,Drep2,,,,,,,,,,,,,ND-20,,pyd,alpha-Man-Ia,,,sty,,CG10479,,,,CG17896,,CG5010,,Ktl,,,,Gale,Baldspot,CG5934,CR44544,Fdh,,kra,AnxB9,Past1
,,,,,,,,lark,,CG32195,,,,CG9220,,,,,,,,nAChRalpha5,,,,CG10866,,cact,,,,,,,pnt,,CG31360,,tau,,,,CG17760,,eEF2,,,,,,,,,,,,,CG18812,,SLC22A,Dop1R1,,,,,CG4598,,,,CG42672,,CG13018,,Corin,,,,CG16711,RpS13,Pdk,RhoL,Pkn,,bab2,Dh31-R,Hsp23
,,,,,,,,CG8726,,CG31344,,,,CG10365,,,,,,,,CG42339,,,,ND-ACP,,Dad,,,,,,,CG10654,,lola,,PKD,,,,Tre1,,CHES-1-like,,,,,,,,,,,,,ND-PDSW,,pbl,ATPsyndelta,,,,,loco,,,,CG7966,,MagR,,Wbp2,,,,Gasz,Lk6,CG4658,bou,Ids,,LRP1,CG15387,Hmu
,,,,,,,,C3G,,whd,,,,MFS9,,,,,,,,ICA69,,,,nAChRalpha4,,Rgl,,,,,,,Nop17l,,CG31690,,ATP8B,,,,CG13559,,tipE,,,,,,,,,,,,,Hers,,CG13397,sra,,,,,Inx2,,,,Thiolase,,CG9065,,Lar,,,,NaCP60E,Esyt2,bma,MSBP,CG10361,,REPTOR-BP,ed,CG43066
,,,,,,,,brp,,eEF1gamma,,,,RpL27,,,,,,,,Pfrx,,,,tamo,,CG40045,,,,,,,MFS9,,beta-Spec,,CG31687,,,,RpL37A,,eIF3i,,,,,,,,,,,,,CG10011,,vvl,Mdh2,,,,,CG30197,,,,Idh,,CG9531,,fdl,,,,RhoGAP19D,CG31751,Phb2,nec,Pgm,,CG43901,SPR,Nhe2
,,,,,,,,CG17514,,CG10126,,,,CG6040,,,,,,,,U2af50,,,,CG12375,,CG6180,,,,,,,Ugt86De,,Ephrin,,GIIIspla2,,,,CG1943,,CG6282,,,,,,,,,,,,,Cp1,,CG10669,Cisd2,,,,,CG31689,,,,Cyp12b2,,CG6878,,ND-19,,,,Sap47,Cyp6a17,CG17364,baz,RpL18A,,Pis,br,mAChR-B
,,,,,,,,Cip4,,let-7-C,,,,CG7737,,,,,,,,hoip,,,,CG5010,,PMP34,,,,,,,fog,,Ziz,,ND-39,,,,CG13795,,CG32772,,,,,,,,,,,,,CG8128,,GstD3,Ktl,,,,,CG34325,,,,daw,,CG13398,,SNF4Agamma,,,,CASK,Eip71CD,FASN1,CR45185,RpL30,,CG18766,CG18467,CG10098
,,,,,,,,Ref1,,CG14968,,,,CG10361,,,,,,,,me31B,,,,muc,,Prx3,,,,,,,mdy,,CG11279,,eIF3d1,,,,Galphai,,CG9186,,,,,,,,,,,,,RFeSP,,by,TyrR,,,,,Idgf6,,,,slow,,CG7708,,ATPsyngamma,,,,CG1695,Fkbp14,CG42394,CG17224,Eno,,Aef1,sn,Rac1
,,,,,,,,stv,,Tsf1,,,,CG15611,,,,,,,,CG42324,,,,eEF1alpha2,,Ubi-p63E,,,,,,,CG6770,,betaggt-II,,PHGPx,,,,IP3K2,,CG13204,,,,,,,,,,,,,CG3009,,CG14945,CG44242,,,,,spz,,,,Idgf4,,Ptpmeg2,,CG42450,,,,Lcch3,Ndae1,CG42337,RpL7A,CG17896,,fax,Past1,CG34347
,,,,,,,,CG3726,,Sirup,,,,Tsp42Ef,,,,,,,,CG9368,,,,Mctp,,Ady43A,,,,,,,CG9471,,unc80,,Hers,,,,Moe,,NTPase,,,,,,,,,,,,,Mpc1,,CG2493,Synj,,,,,RpS9,,,,CG11899,,CG34394,,glec,,,,bol,VhaM9.7-b,CG13920,Syb,Spn27A,,CG7420,CG7582,TkR86C
,,,,,,,,CG3689,,kay,,,,RpS15,,,,,,,,CG13784,,,,CG8229,,CG5830,,,,,,,CG10863,,oaf,,RpL5,,,,CG3376,,CR46006,,,,,,,,,,,,,Dyrk2,,Mtl,CG5010,,,,,Col4a1,,,,Fdh,,ben,,CG44838,,,,l(3)neo38,whd,CanB,Thiolase,CG5888,,SC35,Rpn5,Flo1
,,,,,,,,CycG,,Myd88,,,,Tsp42Ea,,,,,,,,Rac1,,,,CR41597,,RpS5a,,,,,,,CG33970,,unc79,,CG13894,,,,CG3902,,,,,,,,,,,,,,,CG8910,,CG9331,CG12237,,,,,CG3164,,,,RpL7A,,mRpL55,,ND4,,,,SdhA,RpL10Ab,Cisd2,Ctr1B,RpLP0,,CG11486,Imp,DENR
,,,,,,,,Dnz1,,Glycogenin,,,,Ect4,,,,,,,,CG6282,,,,kdn,,CG4660,,,,,,,apolpp,,na,,AP-1sigma,,,,Npc2h,,,,,,,,,,,,,,,Teh1,,Jheh1,SPoCk,,,,,pAbp,,,,RpL38,,Unc-76,,CG4238,,,,Prosalpha4,mnd,CG31475,CG7530,CG5895,,bel,Pka-R1,Chmp1
